name,first_year,last_year,desc_2010,desc_2011,desc_2012,desc_2013,desc_2014,desc_2015,desc_2016,desc_2017,genres_2014,genres_2015,genres_2016,genres_2017
이현기,2015,2016,,,,,,네이버뮤직 차장,네이버뮤직 차장,,,포크,록-모던록,
민정홍,2015,2017,,,,,,EBS 스페이스 공감 PD,EBS 편성기획부 PD,EBS 편성기획부 PD,,재즈&크로스오버,재즈&크로스오버,재즈&크로스오버
박현준,2015,2017,,,,,,경인방송 PDJ,경인방송 PDJ,경인방송 PDJ,,록-모던록,록-모던록,"록-모던록,메탈&하드코어"
고종석,2016,2017,,,,,,,한국대중음악박물관 사무국장 / 대중음악평론가,그루버스 COO / 대중음악평론가,,,"헤비니스,포크,록-모던록","메탈&하드코어,록-모던록,포크"
박병운,2016,2017,,,,,,,[음악취향Y] 필진,[음악취향Y] 필진,,,"록-모던록,헤비니스","록-모던록,메탈&하드코어"
박준우,2016,2017,,,,,,,웹진 [아이돌로지] 에디터,음악칼럼니스트,,,랩&힙합-알앤비&소울,"댄스&일렉트로닉,팝"
이대화,2016,2017,,,,,,,대중음악평론가,대중음악평론가,,,팝-댄스&일렉트로닉,"팝,댄스&일렉트로닉"
이혜진,2016,2017,,,,,,,EBS 스페이스 공감 PD,EBS 스페이스 공감 PD,,,팝-댄스&일렉트로닉,"댄스&일렉트로닉,팝"
정구원,2016,2017,,,,,,,웹진 [weiv] 에디터,웹진 [weiv] 에디터,,,록-모던록,"포크,댄스&일렉트로닉"
정원석,2016,2017,,,,,,,음악평론가,음악평론가,,,"팝-댄스&일렉트로닉,포크","팝,댄스&일렉트로닉"
정진영,2016,2017,,,,,,,[헤럴드경제] 기자,웹진 [이명] 필자,,,"록-모던록,헤비니스","록-모던록,메탈&하드코어"
강우성,2017,2017,,,,,,,,뮤직 에디터,,,,댄스&일렉트로닉
김영대,2017,2017,,,,,,,,음악평론가,,,,팝
김이슬,2017,2017,,,,,,,,벅스 컨텐츠기획,,,,랩&힙합-알앤비&소울
정병욱,2017,2017,,,,,,,,[음악취향Y] 필진,,,,팝
